participantID,wcg_diff_explanation,wcg_diff_explanation_group
1046,exciting,
1047,"The main change I felt is that I went into the second word chain game annoyed. In the beginning, I thought about the fact that something so simple could have been easily fixed within seconds. That left me with a feeling of annoyance and agitation towards the main character.",
1048,I felt a little more tired from the word game due to a lack of timer so I had no idea if I was stuck or not but it was enjoyable otherwise,
1049,,
1050,Normal,
1051,"While I was playing the word chain game for a second time, I noticed I reflected more on the story at the beginning but as I kept playing the game, I thought less and less about the story I had read and forgot some key details from the story.",
1052,It was harder not to use the same words from prior. So my mind went slightly blank a few times and I felt a little lost while thinking of new words or whatever came up    ,
1053,I felt happy after reading it,
1054,"I had the story in the back of my mind, but I didn't relate it to the word chain game.  I don't know why.  I think I didn't feel I could get enough words out of it to fil three minutes",
1055,I felt changes in my mood as I played the second word game.,
1056,I cannot relate to any specific changes other than the fact that the story might of affected my choice of words.,
1057,I did no feel much difference.,
1058,I kept replying the scenario in my mind.,
1059,First round I was just having fun with no rules when it came to the word chain game. The second round I wanted to challenge myself to stick to a theme (and I manage to for the most part) until it got too hard to stick to it (especially since I wanted to keep my word count up for second round compared to first).,
1060,I found it easier to come up with words.,
1061,"again i did not feel any changes really, i was just trying to go blank and let them come to me. if i did feel any difficulty i tried to put it out of mind and let it go blank again",
1062,playing the first round and second round felt about the same. i picked a random word and thought of life associations or a rhyming word. mostly I focused on opposites. ,
1063,nothing,
1064,I remembered key words and themes from the story while playing the game the second time. This was different than the first time because I did not have an established theme or story to draw from initially.,
1065,I just felt humor cause i know exactly how ticked off the person in the story was cause i have been there before.,
1066,it was a very fun task i felt like i was having fun playing a game ,
1067,My mind seemed to be a little more clear and I was able to think of more words at a faster pace.,
1068,"I did not have to think hard to come up with the words, as the words from the story came to mind easily. Therefore, the game felt easier.",
1069,"I didn't feel as much that I was pulling words out of my hat-mind, so much in the second game than I did in the first round. I had a vivd story I just read, so those images were still fresh in my mind, and came to me first.",
1070,"Like I said in my previous response, I found it more difficult to focus on coming up with a word to use. I think I started with lights and dim, but after a bit I was drawing blanks. I think the story may have lingered in my mind and distracted me a bit, but I wouldn't say I was tired or bored due to the story.",
1071,"I found the story funny so that lightened my mood and I think made it easier to actively engage with thinking of words. I didn't notice the word game being easier, it felt about the same in terms of ease of thinking up words. I wasn't bored either round as it was interesting seeing what word I'd think up next and the game itself was engaging. ",
1072,"I did not feel ay changes. I took it as separate, unrelated tasks basically. ",
1073,slightly more at ease and less competitive about the word challenge,
1074,"I truly did not experience notable changes. The two chains just felt like discrete instances of the same activity. I expect I would feel the same now if I were to do a third chain. I tried not to overthink it and to allow it to happen naturally, and I would do the same again.",
1075,Was just trying to pass the time. The last minute was very boring and hard to come up with words. ,
1076,It was a good experience and took a bit of stress off me,
1077,,
1078,"I did feel a little more anxious, a little more agitated, I felt like I'm being rushed more. I also felt like the pauses of empty thinking, empty thoughts, etc. were longer because I could notice a difference in the length of my pauses alone. I'm not sure how much it affected me though, but it did for sure. This is a very interesting study that I haven't really encountered a similar one to. Thank you for the study. ",
1079,I think that the retention of the story was somewhere in the back of my mind. This may have made it more difficult to make word associations during the second round.,
1080,i noticed the game was harder when you have to remember the story ,
1081,"I felt like in the second half I could come up with more words more easily by coming up with as many words as I could pertaining to a certain topic. In the first half, I basically just let my mind come up with random, less related words for the most part and that caused me to struggle a bit more. I also believe it was easier in the second half due to being able to come up with a lot of words based on the reading.",
