key,value
campin,camping
siteseeing,sightseeing
lightbulf,lightbulb
indianocean,indian ocean
chandele,chandelle
coaat,coat
god?!,god
zozmbie,zombie
stmble,stumble
bonemarrow,bone marrow
spirtitual,spiritual
losen,loosen
movingon,moving on
emporer,emperor
phonebooth,phone booth
egar,eager
tassles,tassels
fatique,fatigue
goodnes,goodness
co-workers,coworkers
icecoffee,ice coffee
bodyspray,body spray
annubis,anubis
4wheeldrive,4 wheel drive
waterboarde,waterboard
autum,autumn
bbqchicken,bbq chicken
longjohns,long johns
clothers,clothes
mitrochondria,mitochondria
anima;,animal
passionfruit,passion fruit
darkmirror,dark mirror
caffine,caffeine
michaelangelo,michelangelo
freindly,friendly
tommorrow,tomorrow
coffeebean,coffee bean
muesum,museum
resturant,restaurant
car',car
pain',pain
gilr,girl
jackdaniels,jack daniels
storys,stories
flouride,fluoride
cottoncandy,cotton candy
sourcream,sourc cream
4Wheeldrive,4 wheel drive
streem,stream
tikle,tickle
innoculate,inoculate
persistance,persistence
ouside,outside
basketbal,basketball
firee,fire
meanderin,meandering
gove,give
pinapple,pineapple
patric,patrick
lonley,lonely
coffie,coffee
afterlif,afterlife
raquet,racquet
goaqls,goals
lott,lot
earlt,early
dispair,despair
fauce,faucet
uncertian,uncertain
amndarin,mandarin
cryin,crying
nieghbor,neighbor
famble,gamble
dissapointment,disappointment
reciept,receipt
aggrevate,aggravate
religio,religion
unfufilled,unfulfilled
mayve,maybe
lofr,loft
televison,television
happyness,happiness
disapear,disappear
discove,discover
mannequin ,mannequin
flowerd,flowers
unknowm,unknown
deliverence,deliverance
forgotton,forgotten
thridbase,thirdbase
stimulis,stimulus
saddness,sadness
satisified,satisfied
advertisment,advertisement
scaning,scanning
unparrell,unparalleled
devesated,devastated
pepparoni,pepperoni
whyyy,why
respec,respect
faithfu;,faithful
algortihm,algorithm
hoomework,homework
neigbor,neighbor
fearfull,fearful
dispai,dispair
dissappointed,disappointed
lonly,lonely
desicion,decision
califlower,cauliflower
craddle,cradle
facsim,facism
spagetti,spaghetti
mussle,muscle
attatchment,attachment
sandcasttle,sandcastle
dispell,dispel
churhc,church
baugette,baguette
burgendy,burgundy
refridgerator,refrigerator
washinton,washington
lituragy,liturgy
inernet,internet
rainboe,rainbow
greeen,green
triange,triangle
barbeue,barbecue
mealk,meal
pian,pain
yogutt,yogurt
hersheys,hershey's
solce,solve
whte,white
scallwag,scallywag
doctot,doctor
cahir,chair
freeom,freedom
trajedy,tragedy
richochet,ricochet
overwhem,overwhelm
macaroni ,macaroni
acquaintence,acquaintance
creful,careful
huice,juice
desserted,deserted
parmesean,parmesan
baloon,balloon
unsatisified,unsatisfied
grwoing,growing
sinfu;,sinful
quazi,quasi
raccon,raccoon
andt,and
loft*,loft
stregth,strength
nostolgia,nostalgia
reverbrate,reverberate
badmiton,badminton
pilow,pillow
belon,belong
apri,april
qizard,wizard
peson,person
buffon,buffoon
fooseball,foosball
heatache,headache
raod,road
begining,beginning
mouce,mouse
commited,committed
itallian,italian
upet,upset
wweights,weights
derivitive,derivative
snow],snow
managment,management
panicing,panicking
immorale,immoral
usless,useless
revenue43,revenue
chocolate ,chocolate
harmeful,harmful
mnay,many
finishedd,finished
comaraderie,camaraderie
grennery,greenery
fufilment,fulfilment
new york,newyork
pettite,petite
fullfil,fulfil
adovcating,advocating
gettimng,getting
residen,resident
morge,morgue
zuchinni,zucchini
phome,phone
living room,livingroom
autmn,autumn
gregorious,gregarious
stawberry,strawberry
hospitak,hospital
wanmted,wanted
sky7,sky
trucj,truck
peanut butter,peanutbutter
comrad,comrade
pomd,pond
foward,forward
japaneze,japanese
aline,alone
naybe,maybe
pregnate,pregnant
snorkle,snorkel
yeild,yield
hitory,history
bathing suit,bathingsuit
greateness,greatness
showe,show
suspision,suspicion
hrting,hurting
lies.,lies
gmnaw,gnaw
newpaper,newspaper
gravey,gravy
pleaent,pleasant
bikker,biker
paracite,parasite
whiskeyu,whiskey
depressign,depressing
deodarant,deodorant
monstertruck,monster truck
coffine,coffin
doghair,dog hair
bananana,banana
firepit,fire pit
frogg,frog
lavendar,lavender
excercise,exercise
selfindulgence,self-indulgence
dogleash,dog leash
dervy,derby
ocen,ocean
quil,quill
cambera,canberra
shihtzu,shih tzu
eyelier,eyeliner
outsdie,outside
cheata,cheetah
nakee,naked
vaccum,vacuum
grimreaper,grim reaper
graduatestudent,graduate student
palmtree,palm tree
fullcircle,full circle
pumkins,pumpkins
ghosy,ghost
kleenix,kleenex
yardwork,yard work
resemblence,resemblance
eyres,eyes
chalenging,challenging
pancakes.,pancakes
greatgatsby,great gatsby
porecelain,porcelain
investement,investment
freinds,friends
lunch.,lunch
loittering,loitering
knittingneedles,knitting needles
keyboar,keyboard
connecton,connection
lamr,lame
flacid,flaccid
sawhourse,saw house
saltyshores,salty shore
hungfy,hungry
manger.,manger
postivity,positivity
bluepurple,blue purple
donimate,dominate
electicity,electricity
attitued,attitude
mustard+,mustard
pleeted,pleated
christmastree,christmas tree
gree,free
happypill,happy pill
octangan,octagon
lost.,lost
jusyt,just
calculater,calculator
pumppole,pump pole
talkhottub,talk hot tub
aardvaark,aardvark
repimand,reprimand
midication,medication
hairclip,hair clip
phosphur,phosphor
aprhodite,aphrodite
goverment,government
bacon.,bacon
powercord,power cord
scoop-,scoop
sunscree,sunscreen
frankenscence,frankincense
apple',apple
kull,kill
type2,type 2
listent,listen
cheeck,cheek
loofa,loofah
water.,water
cooldrink,cool drink
backtohome,back to home
dramaqueen,drama queen
hestitant,hesitant
murderdeathkill,murder death kill
curch,church
computerscience,computer science
redbird,red bird
koreanfood,korean food
subract,subtract
expensice,expensive
nopr,nope
finciawhale,fin whale
ligth,light
parametic,parametric
ofstarts,of starts
hairbow,hair bow
neice,niece
fridgge,fridge
skiis,skis
gard,guard
graden,garden
closeds,closed
favorit,favorite
twentyone,twenty one
dimention,dimension
jewerly,jewelry
oliveoil,olive oil
phon,phone
giraffee,giraffe
fieldhockey,field hockey
redbloodcell,red blood cell
birf,birth
forthood,fort hood
strang,strange
airplan,airplane
timeslot,time slot
ostentacious,ostentatious
suspence,suspense
pollish,polish
covenent,covenant
armoir,armoire
civvet,civet
prowrestling,pro wrestling
insinuatee,insinuate
loney,lonely
soccor,soccer
blackholes,black holes
jellyroll,jelly roll
engery,energy
nopthing,nothing
blad,bald
seancarroll,sean carroll
strock,stroke
frok,fork
momentoes,mementos
dinne,dinner
quiche.,quiche
tokyotower,tokyo tower
yorkshirepudding,yorkshire pudding
sadnes,sadness
mardigras,mardi gras
grnite,granite
coffeetable,coffee table
stipen,stipend
burrito.,burrito
beedle,beetle
buring,burning
vunerable,vulnerable
eurpope,europe
camoflage,camouflage
notecards,note cards
vacatioon,vacation
flavoursome,flavorsome
hottub,hot tub
binderclip,binder clip
lense,lens
quality-time,quality time
wll,will
pink.,pink
anntenna,antenna
lawmmower,lawnmower
amze,amaze
johnnydepp,johnny depp
checkou,checkout
gren,green
trumbone,trombone
podcase,podcast
volauvents,vol-au-vents
spam.,spam
houseplants,house plants
pinaepple,pineapple
wuppin,whooping
throwup,throw up
kindergarden,kindergarten
everyting,everything
controvery,controversy
surverys,surveys
lullabye,lullaby
firepits,fire pits
yelloe,yellow
polarbear,polar bear
diesease,disease
asthetic,aesthetic
quizes,quizzes
upsidedown,upside down
bedrail,bed rail
cabiner,carabiner
drwho,doctor who
figureskating,figure skating
sneexe,sneeze
jaz,jazz
chicken.,chicken
stuat,stuart
borng,boring
flank.,flank
respong,respond
madameweb,madame web
ceromonies,ceremonies
mudd,mud
safty,safety
market.,market
icing.,icing
villian,villain
guilt.,guilt
stalble,stable
intelligience,intelligence
hotspring,hot spring
carniverous,carnivorous
engagment,engagement
coridal,cordial
worldcup,world cup
greif,grief
glicerin,glycerin
engergised,energised
remore,remote
bustop,bus stop
swing-set,swing set
tellahassee,tallahassee
ciggarette,cigarette
wtch,watch
shots.,shots
intelligient,intelligent
dsnce,dance
plainland,plain land
pumkin,pumpkin
trus,trust
ghandi,gandhi
salad.,salad
coldplunge,cold plunge
flowr,flower
badf,bad
notecard,note card
tosy,toys
chemisty,chemistry
dum,dumb
ziegfried,siegfried
wraught,wrought
limpin,limping
squek,squeak
cabagge,cabbage
delicous,delicious
christmad,christmas
enevelope,envelope
jerkey,jerky
mtdew,mountain dew
birdfeeder,bird feeder
groun,ground
shwarma,shawarma
birc,birch
coincindence,coincidence
brownshoes,brown shoes
men.,men
entertainent,entertainment
strobelights,strobe lights
tree.,tree
nise,niece
kres,caress
woodbench,wood bench
putadiggoonabooboo,put a dig go on a booboo
disrespectful.,disrespectful
flipflop,flip flop
seacucummber,sea cucumber
smalltown,small town
airballoon,air balloon
feminisim,feminism
lastofus,last of us
badmitton,badminton
tellephone,telephone
janurary,january
crashcourse,crash course
hydorgen,hydrogen
flan.,flan
falsepositive,false positive
girraffe,giraffe
fillingout,filling out
blakc,black
selfesteem,self esteem
pharoah,pharaoh
founatin,fountain
blackpepper,black pepper
offputting,off putting
jip,gyp
tradegy,tragedy
propmaster,prop master
chot,choke
chisle,chisel
mim,mime
faitful,faithful
pork.,pork
toliet,toilet
lettuc,lettuce
cime,crime
lovefr,lover
hungrey,hungry
kats,cats
myre,mire
curlingiron,curling iron
semaphor,semaphore
fuscia,fuchsia
similiar,similar
polp,pulp
washwer,washer
raido,radio
hopinh,hoping
registrt,register
naill,nail
flagfootball,flag football
at-ease,at ease
honeycrisp,honey crisp
shre,shrek
pillowtalk,pillow talk
charcol,charcoal
cerami,ceramic
squirle,squirrel
drayer,dryer
electrionic,electronic
heep,heap
privilige,privilege
pizzabomb,pizza bomb
consitent,consistent
ralism,realism
sotries,stories
steeringwheel,steering wheel
seaa,sea
prqy,pray
inquizative,inquisitive
sleepng,sleeping
disapointment,disappointment
darknight,dark knight
naturalsciences,natural sciences
crie,cry
glorence,florence
winners.,winners
universalstudios,universal studios
rampp,ramp
orangejuice,orange juice
beautitudes,beatitudes
plau,play
meloncholy,melancholy
persnickity,persnickety
deskmat,desk mat
crome,crime
comvine,combine
repentence,repentance
sealion,sea lion
play-doh,play doh
river.,river
marsbar,mars bar
jumprope,jump rope
ajourn,adjourn
determin,determine
histroy,history
flurorite,fluorite
propher,prophet
deorderant,deodorant
floorint,flooring
fued,feud
collour,color
anconeous,anconeus
punsihment,punishment
garantour,guarantor
gope,hope
footall,football
kingcake,king cake
heavenhell,heaven hell
wter,water
restaura,restaurant
strawberry.,strawberry
blie,blue
fre,free
supply.,supply
youre,you're
intersting,interesting
chek,check
cannister,canister
subertfuge,subterfuge
backwayd,backward
filetrip,field trip
antman,ant man
chaor,chaos
briliant,brilliant
blanet,blanket
vehecles,vehicles
lazysusan,lazy susan
consolance,consolation
bakin,baking
cuser,cursor
hiphop,hip hop
squirel,squirrel
iceceam,ice cream
phallacy,fallacy
makeuo,makeup
wildebeast,wildebeest
pittbull,pitbull
slackjaw,slack jaw
murder.,murder
vaccuum,vacuum
kean,keen
sciene,science
shde,shade
parsely,parsley
orangw,orange
grocery.,grocery
dwar,dwarf
straightup,straight up
speach,speech
tast,taste
tooo,too
rriver,river
tvshows,tv shows
celing,ceiling
troublle,trouble
cieling,ceiling
mastidon,mastodon
bstk,best
selfrighteous,self-righteous
sneakes,sneakers
botusim,botulism
muder,murder
pait,paint
cauldren,cauldron
drean,dream
decedious,deciduous
runningwater,running water
walk.,walk
muchroom,mushroom
deoxyribonucleicacid,deoxyribonucleic acid
catepiller,caterpillar
oatneal,oatmeal
gentlew,gentle
unatractive,unattractive
soutwest,southwest
fountian,fountain
treasur,treasure
didnt,didn't
engeering,engineering
sprakle,sparkle
stotytelling,storytelling
taco.,taco
strawbwerry,strawberry
emmissoions,emissions
hairtie,hair tie
thermomete,thermometer
proclamate,proclaim
streetsign,street sign
hiding.,hiding
seperation,separation
nonme,gnome
suncream,sun cream
lime.,lime
slothes,sloths
dietcoke,diet coke
crabrangoons,crab rangoons
hotwheels,hot wheels
broccolli,broccoli
shapie,sharpie
belive,believe
notebad,note pad
grauple,graupel
foreve,forever
sinder,cinder
teble,table
capitalisation,capitalization
sattured,saturated
reprasentative,representative
magaine,magazine
diety,deity
pineapple.,pineapple
highstreet,high street
bagle,bagel
timmothy,timothy
waer,wear
terrortists,terrorists
boardgames,board games
choosing.,choosing
adminstrator,administrator
triangle.,triangle
thre,three
narative,narrative
licesea,license
staduim,stadium
bluejay,blue jay
prossessor,processor
anaphalaxis,anaphylaxis
rocketman,rocket man
seductive.,seductive
sandwitch,sandwich
workingout,working out
clesr,clear
burrit,burrito
shinguard,shin guard
malicious.,malicious
decisions.,decisions
greatnes,greatness
boy.,boy
watr,water
bread.,bread
driking,drinking
non-fiction,non fiction
hairylegs,hairy legs
cusion,cushion
satelite,satellite
astronaught,astronaut
pira,piranha
jumbojet,jumbo jet
blled,bled
akward,awkward
dsesginer,designer
leggo,lego
undr,under
edma,edema
opp,op
audibook,audiobook
runningback,running back
exeriment,experiment
capstick,chapstick
weatherfront,weather front
perpertrator,perpetrator
truck.,truck
hugr,huge
cornmaze,corn maze
medica,medical
flordia,florida
entagle,entangle
lemon.,lemon
calander,calendar
restuarant,restaurant
stiryfry,stir fry
hotelhell,hotel hell
hik,hike
book.,book
bobblehat,bobble hat
platy,platty
turqouise,turquoise
markt,market
hsuband,husband
toter,totter
rainobow,rainbow
corenor,corner
toiletpaper,toilet paper
squirrls,squirrels
marination,marinade
msrachel,ms rachel
theyre,they're
pilor,pillar
coah,coach
cul-de-sac,cul de sac
gepetto,geppetto
drumstick.,drumstick
heavy.,heavy
cake.,cake
hair-do,hairdo
warnerbro,warner bro
tazmania,tasmania
crashcake,crash cake
sherrif,sheriff
storag,storage
petsitting,pet sitting
ballooon,balloon
chairt,chart
heartbe,heartbeat
friendpull,friend pull
tamborine,tambourine
lipbalm,lip balm
flkoat,float
make-up,makeup
eccept,accept
funerl,funeral
slingy,slings
misrophone,microphone
microwav.,microwave
ecommerc,ecommerce
muscial,musical
abramovic,abramovich
weatjer,weather
mait,mate
epilougue,epilogue
pointles,pointless
zats,zaps
lawmnower,lawnmower
todau,today
taute,taut
sog,soggy
stargazinglily,stargazing lily
unerstand,understand
typin,typing
double-edged,double edged
songly,strongly
cludeo,cluedo
knice,knife
screem,scream
waterbottle,water bottle
napp,nap
zues,zeus
weddingbells,wedding bells
teet,teeth
eyechart,eye chart
cryneed,cry need
endzone,end zone
acomplice,accomplice
electrity,electricity
dule,duel
aurevoir,au revoir
maek,make
diper,diaper
cheif,chief
terrabite,terabyte
deks,desks
peir,pier
biliions,billions
tungston,tungsten
firetruck,fire truck
interestting,interesting
warnish,varnish
teluride,telluride
silince,silence
plushie,plushy
kazakstan,kazakhstan
recue,rescue
computerchair,computer chair
donw,down
prooving,proving
eiffeltpwer,eiffel tower
sittinf,sitting
rightleft,right left
garderer,gardener
pebbl,pebble
treet,tree
smark,smirk
lefy,lefty
lightningmcqueen,lightning mcqueen
children.,children
unknowledable,unknowable
foof,poof
balnket,blanket
forcast,forecast
antihero,anti-hero
acadaemia,academia
fettywap,fetty wap
electic,electric
logisitics,logistics
walway,walkway
physiscian,physician
oisrachio,oisophagus
elephans,elephants
subvey,subway
mathemetician,mathematician
pavillion,pavilion
watermellon,watermelon
polyamourous,polyamorous
enaging,engaging
specte,specter
pinetree,pine tree
partnerr,partner
channukkiah,chanukiah
romcom,rom com
chesapeak,chesapeake
gaurd,guard
tshirt,t-shirt
foundaton,foundation
scantify,quantify
duyt,duty
reep,reap
okayy,okay
consious,conscious
shootingstar,shooting star
deegree,degree
crazycat,crazy cat
raisens,raisins
fourtytwo,forty two
intenstines,intestines
reain,rain
turkey.,turkey
sevrinson,severinson
innertube,inner tube
vacum,vacuum
curtin,curtain
waterfountain,water fountain
doglover,dog lover
alergy,allergy
diningroom,dining room
bar.,bar
giftshop,gift shop
potaoes,potatoes
wken,woken
dumblings,dumplings
birs,birds
longivity,longevity
speel,spell
waffles.,waffles
babygro,baby grow
chiken,chicken
milk.,milk
charfe,chafe
beacj,beach
prohet,prophet
sandastle,sand castle
furlow,furlough
andrewgardfield,andrew garfield
neep,neap
mouspad,mousepad
abientot,a bientot
couhc,couch
departmnt,department
outsie,outside
candycane,candy cane
mideval,medieval
becomeing,becoming
newzealand,new zealand
rayes,rays
mystery.,mystery
tanogram,tangram
landfil,landfill
builcing,building
bden,biden
asterick,asterisk
sleepfield,sleep field
semistructured,semi-structured
newmexico,new mexico
highway.,highway
firehydrant,fire hydrant
breakfast.,breakfast
crallice,chalice
choak,choke
northcarolina,north carolina
reight-wing,right-wing
casketn,casket
tabaco,tobacco
frenchpress,french press
celcius,celsius
girlf,girlfriend
schol,school
millionair,millionaire
aggriogant,arrogant
sangchi,shang-chi
coffeecup,coffee cup
hores,horses
trowl,trowel
fastpass,fast pass
sheild,shield
hoiuse,house
spide,spider
silve,silver
reignring,reigning
bananan,banana
smirl,smirk
country-side,countryside
domincan,dominican
sleepcouch,sleep couch
trashbag,trash bag
marachino,maraschino
sentenec,sentence
cartrip,car trip
highrise,high rise
assisstant,assistant
moviie,movie
piercing.,piercing
bookbag,book bag
treck,trek
woek,woke
chick-flick,chick flick
oldmen,old men
basetball,basketball
lipgloss,lip gloss
harddrive,hard drive
cowel,cowl
ladel,ladle
pomegrante,pomegranate
polich,polish
presens,presence
consnet,consent
jijitsi,jiu-jitsu
stronge,strong
hairdye,hair dye
catankerous,cantankerous
rubberband,rubber band
trasj,trash
marmelade,marmalade
jumbalaya,jambalaya
qyandry,quandary
brifge,bridge
supercalafragilisticexpialidocious,supercalifragilisticexpialidocious
woodchip,wood chip
body.,body
coldbrew,cold brew
deodoranr,deodorant
kingg,king
bondooku,bondoku
kiler,killer
olymics,olympics
brithday,birthday
tuckstop,truck stop
heaterevent,heater vent
protn,protein
toolong,too long
mandibula,mandible
monestary,monastery
qutips,q-tips
clikc,click
pisce,pisces
facemask,face mask
cartoonm,cartoon
delux,deluxe
bornw,born
onewight,overweight
dishtowel,dish towel
giveback,give back
guineapig,guinea pig
ciggarrette,cigarette
rosd,road
kilelr,killer
runningout,running out
to-do,to do
lavander,lavender
nailtab,nail tab
octogon,octagon
harrypotter,harry potter
plung,plunge
homecooked,home cooked
reddwarf,red dwarf
capitvating,captivating
gratifcation,gratification
eyedrop,eye drop
pourous,porous
physicits,physicists
cafateria,cafeteria
battl,battle
typee,type
blankmind,blank mind
fishtank,fish tank
solice,solace
funkl,funk
fauls,fouls
fraile,frail
eggs.,eggs
tidepools,tide pools
killa,killer
aurthority,authority
lolipop,lollipop
fishingrod,fishing rod
carseat,car seat
heredetary,hereditary
uturn,u-turn
polygamyst,polygamist
lolliop,lollipop
bluch,blush
intertube,inner tube
quize,quiz
jewlery,jewelry
dundermifflin,dunder mifflin
gravitiate,gravitate
upto,up to
smokingchain,smoking chain
motercycle,motorcycle
woman.,woman
windo,window
sidwalk,sidewalk
honeybadger,honey badger
legubrious,lugubrious
exzema,eczema
frought,fraught
daises,daisies
toystory,toy story
polarisation,polarization
slee,sleep
outeredge,outer edge
chipmonk,chipmunk
budda,buddha
engone,engine
hoer,whore
stationwagon,station wagon
fruit.,fruit
firstclass,first class
lttery,lottery
unblievable,unbelievable
hairspra,hairspray
flyfish,fly fish
blankeyt,blanket
newyorkcity,new york city
companian,companion
forboding,foreboding
icehouse,ice house
icepop,ice pop
nesst,nest
sidewal,sidewalk
placw,place
matress,mattress
avoidancw,avoidance
life-changing,life changing
casuallt,casually
words.,words
girl.,girl
browndwarf,brown dwarf
tumultous,tumultuous
labratory,laboratory
harmer,hammer
train],train
carbiner,carabiner
horrornights,horror nights
traine,train
animalssense,animals sense
treee,tree
actvity,activity
greag,great
insude,inside
energyunited,energy united
linping,limping
tos,toes
netflic,netflix
micowave,microwave
bathbomb,bath bomb
phonecase,phone case
sprting,sporting
desparate,desperate
mmunch,munch
peridoty,peridot
brusselspouts,brussels sprouts
biwl,bowl
expresslane,express lane
elonmusk,elon musk
marriag,marriage
coor,color
airpalne,airplane
dogbed,dog bed
chocolatespread,chocolate spread
picnc,picnic
babyface,baby face
pludge,plunge
selfcare,self care
alope,elope
geng,gang
croccodile,crocodile
culdesac,cul-de-sac
hotblanket,hot blanket
moad,mood
alligatir,alligator
stree,street
hopefuture,hope future
baloons,balloons
bely,belly
pizz,pizza
