participantID,wcg_diff_general,wcg_diff_general_group
1185,,
1186,I felt the second round was trying to manipulate me into using words from the story,
1187,it was the same,
1188,I felt the story had some influence on the words i submitted after ,
1189,"The main difference was just that I had already listed most of the things in my immediate environment the first time, and didn't want to repeat myself, so I had to strain a little more to come up with different things.",
1190,before the story I was just letting words flow or grabbing them as they popped into my head. Doing the word chain immediately after reading the story made all of the word chain words associate with the story in my my head.,
1191,it was bit harder to focus on not using any of those words from the story.,
1192,no difference I kept to just words that entered my mind,
1193,no difference,
1194,"Compared to before reading the story, I was thinking of more words that related to the story. I thought of more words relating to outdoors and traveling, while in the first round, I thought of words relating to my current surroundings.",
1195,i feel like some of the words i mentioned in the first word chain game were maybe in the story?,
1196,After the story I had water on my mind,
1197,"I felt heavier, more emotionally driven after reading the story. I tried to not let it dominate my word choices after but I think it did anyway.",
1198,The second time my words were influenced by the story at first.,
1199,"after reading, my words were more violent and sexual in nature.",
1200,"After reading the story I was consciously attempting to choose words that were not in the story or a selection of the language/words used in the story. When a word came to mind I briefly considered how much that word choice was influenced by the story I had just finished reading, but still tried to enter words quickly to avoid too much thinking.",
1201,after reading the stories for a moment I mostly thought of words that were related to the events in the story.,
1202,I felt disturbed,
1203,It felt a bit harder to come up with words to type.,
1204,I did not feel any differences.,
1205,I was writing some more dark words in the second round,
1206,I was acutely aware that my words may be different or influenced by the story,
1207,"I would use the same strategy as the first round, but I did use a lot of words associated with the story so I can reinforce it in my memory.",
1208,Various words related to the story popped into my head.,
1209,"I felt more inclined to think of words that tied back to various events or references of the story, such as sheriff and murder.",
1210,"I felt more crazy after reading the story, like I had gone mad.",
1211,,
1212,"The difference was that, before reading the story, i was remembering words on a rapid way. I was able to remember many of the words. After reading the story, however, remembering the words was a little difficult because it was like my mind was filled with the story. ",
1213,I did not feel any differences between the games.,
1214,I was a bit confused ,
1215,words from the story came to mind during the second word chain game,
1216,I found that it was easier to enter words because of the story that I read.,
1217,I think the story had little effect on my playing of the word chain game. The sex part of the story definitely had me thinking more about that type of stuff for a little while.,
1218,Initially I was having words from the story pop in my head so I made a conscious effort to free my mind.,
1219,"Before the story, I felt I had no direction of which words to use. After the story, I used words that came to mind after the story.",
1220,Maybe a little more gloomy and bleak after the story.,
1221,"i noticed that after reading the story i was actively avoiding using words i had just read, but was not always successful",
1222,,
1223,I was thinking more about environments such as the forest that Stuart and his friends were going through.,
1224,i had different words on my mind,
1225,felt like I was supposed to use words from the story,
1226,I know I was influenced to start with the word water because it was one of the last words in the story. The first time I think I did have a random word that I started with. I also felt like some of my word choices were influenced by the story - I remember at one point typing the word violence.,
1227,"The first time I felt regular, the second time I felt a little more charged up and eager to play",
1228,I noticed I used a lot of the words found in the story.,
1229,forgot most of the details in the story,
1230,I guess just more words came to mind so I could incorporate that in the second part,
1231,I didn't really notice any differences. I simply tried to focus on words each time.,
1232,Some words didn't what to use until more positive words could be used.,
1233,"Before I was really happy to play the word chain game but after reading the story, I was shocked and wanted to finish the word chain game as soon as possible thinking I would get to read the story till the end.",
1234,I did not want to reuse the same words in round 1 ,
1235,I was trying to construct a narrative more clearly,
1236,"I felt that the second game was influence by certain elements of the story,  at least initially.",
1237,I didn't notice any significant differences; I approached the game the same.,
1238,"The big difference I felt was that I seemed to be more highly focused on images from out of doors, and in particular I was thinking of the mountainous environment of the story, the spooky green pickup which followed the heroine, and the road on which they drove. The story definitely influenced my second round of the word chain game as images from it were fresh in my mind. This might be because I am personally very familiar with the Naches river and the highway which goes alongside it, since I have gone fishing and gold panning there many times! ",
1239,I was focused on the words or situations in the story,
1240,"After reading the story, I used words that were similar to the ones in that story",
1241,I felt like my words changed after reading the story. ,
1242,"My mind just wandered in the first, but in the second I could not get the story out of my mind. ",
1243,I felt a little more sad and lonely so that influenced the places that I thought of,
1244,I had less questions as to what was going to happen after I played the game the second time around. ,
1245,I was bored during the first game.  I was a bit on edge for the second one - I was a bit more anxious.,
1246,I felt that I used the words that were used in the story more.,
1247,I had more words that I thought of but it was still difficult finding new words after a while,
1248,"First, I was not attached to the exercise, second round, I was deeply engaged. ",
1249,I was trying to come up with word while trying not to forget about the story I had just read,
1250,"After the story, I found myself using words that described how I felt reading the story.",
1251,My word choices were darker,
1252,I definitely couldn't help but start the second round of the word chain game with some of the words I'd just read.,
1253,The word chain game before seemed to flow smoother and the word chain game after I seemed to get stuck midway through.,
1274,"I felt almost the same, trying to get the words from my mind in both situations.",
1275,i wasn't trying to match words to the story or from the story after reading the story.,
1276,I might have used some words from the story the second time. I'm not sure. ,
1277,"I had the same ""strategy"" for the second round, but I did find that some words from the story were coming to mind more easily. There was more of a flow for some words without much effort on my end when I chose something loosely related to the story.",
1278,"My mind was full of thoughts about the story, which had an effect on the words I used.",
1279,"The first time around, I was just looking at my surroundings and using those words.  After reading the story, I had the story in my mind and so I was using words from that.",
1280,After reading the  story easy to write more words and easy to create it.,
1281,"Some of the images from the story were in my head and so I referenced them more often. The first time around, I had no real images in my head and was just doing it like free association.",
1282,I felt more unsure of what to put the second time. The words weren't as simple as objects anymore. ,
1283,I was trying to avoid using words from the story. ,
1284,I didn't feel any different playing the word chain game after having read the story.,
1859,Story kept on popping in my head,
