,1,2,3,4,5,6,7,8,9,10,11
tanks,0,0,0,0,0,0,0,3,0,0,0
wellsettled,0,0,0,0,0,0,0,0,0,0,0
bribery,0,0,0,0,0,0,0,0,0,0,0
orlando,0,0,0,0,0,0,0,0,0,0,0
sam,0,0,0,0,0,0,0,0,0,0,0
goodyear,0,0,0,0,0,0,0,0,0,0,0
valid,0,0,0,0,0,0,0,0,0,0,0
challenging,0,0,0,0,0,0,0,0,0,0,0
rollup,0,0,0,0,0,0,0,0,0,0,0
shadows,2,0,0,0,0,0,0,1,0,0,0
cubs,0,0,0,0,0,0,0,0,0,0,1
claws,0,0,0,2,0,0,0,0,0,0,0
scotland,0,0,0,0,0,0,0,0,0,0,0
professor,0,0,0,0,0,0,0,0,0,0,0
wheels,0,0,0,0,0,1,1,0,0,0,0
printing,0,0,0,0,0,0,0,0,0,0,0
pokeball,0,0,0,0,0,0,0,0,0,0,0
abruptly,0,0,1,1,0,0,0,1,0,0,0
tal,0,0,0,0,0,0,0,0,0,0,0
offense,0,0,0,0,0,0,0,0,0,0,0
yellow,0,0,0,0,0,0,0,0,0,0,0
sail,0,0,0,0,0,0,0,0,0,0,0
salaries,0,0,0,0,0,0,0,0,0,0,0
bachelor,0,0,0,0,0,0,0,0,0,0,0
way,0,2,0,0,0,0,1,0,0,0,0
mature,0,0,0,0,0,0,0,0,0,1,1
comfortable,1,0,0,0,1,0,2,0,0,0,0
bonding,0,3,0,2,2,0,2,0,0,0,0
positibe,0,0,0,0,0,0,0,0,0,0,0
madison,0,0,0,0,0,0,0,0,0,0,0
yachts,0,0,0,0,0,0,0,0,0,0,0
untold,0,0,0,0,1,0,0,0,0,0,0
sound,0,0,0,0,0,0,0,0,0,0,2
milf,0,0,0,0,0,0,0,0,0,0,0
pie,0,0,0,0,0,0,0,0,0,0,0
light switch,1,0,0,0,0,0,0,0,0,0,1
margarita,0,0,0,0,0,0,0,0,0,0,0
pointless,0,0,0,0,0,0,0,0,2,0,1
tidal,0,0,0,0,0,0,0,0,0,0,3
bands,0,0,0,0,0,0,0,0,0,0,2
houes,0,0,0,0,2,0,0,0,3,1,3
oak,0,0,0,0,0,0,0,0,0,0,1
losers,1,0,0,0,0,0,0,0,0,0,0
saucer,0,0,0,0,0,0,0,0,0,0,0
query,0,0,0,0,0,0,3,4,0,0,0
carom,0,0,0,0,0,0,0,0,0,0,0
simon,0,0,0,0,0,0,0,0,0,0,0
top,0,0,3,0,0,0,0,2,0,0,0
flaky,0,0,0,0,0,0,0,0,0,0,0
night,2,2,0,0,0,0,0,0,2,0,1
seed,0,0,0,0,0,0,0,0,0,0,0
decoration,0,0,0,0,1,0,0,0,0,0,2
hitler,0,0,0,0,0,0,0,0,0,0,0
ersatz,0,2,0,0,0,0,0,0,0,0,0
comedt,0,0,0,0,0,0,0,0,0,0,0
design,0,0,1,0,3,1,0,0,0,0,3
eyelids,1,3,0,0,0,0,0,0,0,0,0
sedan,0,0,0,0,0,0,0,0,0,0,1
goop,0,0,0,0,0,0,0,0,0,0,0
dailing,0,0,0,0,0,0,0,0,2,1,3
liquour,0,0,0,0,0,0,0,0,0,0,1
hutch,0,0,0,0,0,0,0,0,0,0,0
rays,1,0,0,0,0,0,0,0,0,0,1
mon,0,0,0,0,0,0,0,0,0,0,0
camp,0,0,0,0,0,0,0,1,0,0,0
buddha,0,0,0,0,0,0,0,0,0,0,0
vottle,0,0,0,2,0,0,0,0,0,0,0
kindred,0,3,0,0,0,0,2,1,0,0,0
renaissance,0,0,0,0,0,0,0,0,0,0,0
sensitivity,2,1,0,0,1,0,0,0,0,0,0
gwenyth,0,1,0,0,0,0,0,1,0,0,0
jalapeno,0,0,0,0,0,0,0,0,0,0,0
betry,0,1,0,0,0,0,0,0,0,0,0
trashcan,0,0,0,0,0,0,0,0,0,0,0
industry,0,2,0,1,0,0,0,0,0,0,1
outlet,0,0,0,0,0,0,0,0,1,0,0
lustious,0,1,0,2,0,0,0,0,0,2,0
stack,0,0,0,0,0,0,0,0,0,0,1
ringed,0,0,0,0,0,0,0,0,0,0,2
shirts,0,0,2,3,0,0,0,0,0,0,0
vodka,0,0,0,0,0,0,0,0,0,0,1
line,0,0,0,0,0,3,3,3,0,0,2
sump,0,0,0,0,0,0,0,0,0,0,0
love,0,3,0,1,2,0,3,3,2,1,1
snakeskin,0,0,0,0,0,0,0,0,0,0,0
chains,0,0,0,0,2,0,1,0,4,0,1
riverbed,0,0,0,0,0,0,0,0,0,0,0
sit,4,3,0,3,0,0,2,0,0,0,0
garage,0,0,0,0,0,0,0,0,0,4,0
secure,0,0,0,0,0,4,2,0,0,0,1
penguins,0,0,0,0,0,0,0,0,0,0,0
him,4,4,2,4,3,4,4,4,2,3,3
evil,0,0,0,0,0,0,0,0,0,0,0
bracket,0,0,0,0,0,0,0,0,0,0,0
graduation,0,0,0,0,0,0,0,0,0,0,0
raft,0,0,0,0,0,0,0,0,0,0,0
however,0,0,0,0,0,0,0,0,0,0,0
clips,0,1,0,0,0,0,0,0,0,0,0
captain,0,0,0,0,0,0,0,0,0,0,0
alright,0,0,0,0,0,0,0,0,0,0,0
diarrhea,0,0,0,0,0,0,0,0,0,0,0
complex,0,2,0,0,3,0,2,0,4,2,0
wonderful,0,0,0,0,0,2,1,0,0,0,0
lips,0,1,0,1,2,0,0,0,0,2,0
polar,0,0,0,0,0,0,0,0,0,0,0
beat,0,0,0,0,0,0,0,0,0,0,2
scooper,0,0,0,0,0,0,0,0,0,0,0
shrine,0,0,0,0,0,0,0,0,0,0,0
backpack,0,0,0,0,0,0,3,2,0,0,0
rag,0,0,2,0,0,0,0,0,0,0,0
skating,0,0,0,0,0,0,0,0,0,0,0
autisic,0,0,0,0,0,0,0,0,0,0,0
soundshow,0,0,0,0,0,0,0,0,0,0,0
clue,2,0,0,0,0,3,3,3,0,0,2
condensation,0,0,1,0,0,0,0,0,0,0,0
fog,1,0,0,0,0,0,0,2,2,0,0
starless,0,0,0,0,0,0,0,0,0,0,0
wordchail,0,0,0,0,0,0,0,0,0,0,0
sk,0,0,0,0,0,0,0,0,0,0,0
rascal,0,0,0,0,0,0,0,0,0,0,3
rumi,0,0,0,0,0,0,0,0,0,0,0
epsom,0,0,0,0,1,0,0,0,0,0,0
pitch,0,0,0,0,1,1,0,0,0,0,0
overdose,0,0,0,0,0,0,0,0,0,0,0
frying,0,0,0,0,0,0,0,0,0,0,0
finch,0,0,0,0,0,0,0,0,0,0,0
higher,3,0,0,3,2,0,1,0,0,0,0
hachiware,0,0,0,0,0,0,0,0,0,0,0
colorful,0,0,0,0,0,0,0,0,2,0,2
pals,0,0,0,0,0,1,0,0,0,0,0
onward,1,0,0,0,0,2,2,2,3,0,1
cooper,0,0,0,0,0,0,0,0,0,0,0
waggish,0,3,0,4,0,1,0,0,0,0,0
frog,0,0,0,0,0,0,0,0,0,0,0
try,0,0,4,0,0,0,0,0,2,0,0
teacup,0,0,0,0,0,0,0,0,0,0,0
fungi,0,0,0,0,0,0,0,0,0,0,0
wordcap,0,0,0,0,0,0,0,0,0,0,0
squeal,0,1,0,0,0,0,0,1,0,0,0
worried,0,1,0,0,0,0,2,0,3,0,2
damn,0,0,0,0,0,0,0,0,0,0,0
snowboard,0,0,0,0,0,0,0,0,0,0,0
paul,0,0,0,0,0,0,0,0,0,0,0
dust,0,0,0,0,0,0,0,0,0,0,2
warehouse,0,0,0,0,0,0,0,0,0,0,0
check,0,0,0,0,0,1,0,2,0,0,0
sanctuary,1,0,0,0,0,0,2,0,0,0,0
gender,3,3,0,2,0,0,0,0,0,3,0
telescope,0,0,0,0,0,0,0,0,1,0,0
nature,0,2,0,2,0,0,0,0,2,0,2
floss,0,0,0,0,0,0,0,0,1,0,0
ghastly,0,0,0,0,0,0,0,0,0,0,0
bent,0,0,0,0,0,0,0,0,0,0,0
december,0,0,0,0,0,0,0,0,0,0,0
certrian,0,0,0,0,0,0,0,0,0,0,0
gruesome,0,0,0,0,0,0,0,0,0,0,0
crawfish,0,0,0,0,0,0,0,0,0,0,0
artificial,0,2,0,3,0,0,0,2,0,0,2
boulder,0,0,0,0,0,0,0,0,0,0,0
greed,0,2,0,0,0,0,0,2,0,0,0
toothpick,0,0,0,0,0,0,0,0,0,0,0
rearrange,0,0,0,0,0,0,0,0,1,0,0
cruise,0,0,0,0,0,0,0,0,0,0,0
degrade,0,0,0,0,0,0,0,0,0,0,0
fabulous,0,0,0,0,0,0,0,0,0,0,0
jello,0,0,0,0,0,0,0,0,0,0,0
peat,0,0,0,0,0,0,0,0,0,0,0
flowers,0,0,0,0,0,0,0,0,0,0,4
reticent,2,0,0,0,0,0,0,2,2,0,2
supportive,0,0,0,3,0,3,2,0,0,0,0
unsexy,0,0,0,0,0,0,0,0,0,0,0
than,0,0,0,0,0,0,0,0,0,0,0
auto-subscribe,0,0,0,0,0,0,0,0,0,0,0
cinema,3,2,0,0,0,0,0,3,0,0,4
public,2,3,0,0,0,0,0,4,0,0,3
transgressive,0,1,0,2,0,0,2,0,0,2,0
melting,0,0,2,0,0,0,0,0,0,0,0
stage,3,3,0,2,0,0,0,4,0,0,4
insipid,0,0,1,0,2,0,0,0,2,0,0
enthralled,2,3,0,2,2,0,2,0,0,0,2
encompassing,0,2,0,0,0,0,2,0,0,0,0
modalities,0,0,0,0,0,0,0,0,0,0,0
diesel,0,0,0,0,0,0,0,0,0,0,0
daddy,0,1,0,0,0,0,0,0,0,3,0
corporeal,0,0,2,3,2,0,2,0,0,2,0
defense,2,0,0,0,0,3,2,0,0,0,0
active,0,0,0,0,0,0,0,0,0,0,0
transh,0,0,0,0,0,0,0,0,0,0,0
cages,1,0,0,0,2,0,0,2,2,0,0
druid,0,0,0,0,0,0,0,0,0,0,0
ending,0,0,0,0,0,1,2,3,0,0,3
either,0,0,0,0,0,0,0,0,0,0,0
let,2,0,0,1,0,0,1,1,1,0,0
androgynous,1,1,0,0,0,0,0,0,0,0,0
bing,0,0,0,0,0,0,0,0,0,0,0
philosophy,0,2,0,0,2,0,3,0,0,0,0
lacrosse,0,0,0,0,0,0,0,0,0,0,0
pirate,0,0,0,0,0,0,0,0,0,0,0
pyramid,0,0,0,0,0,0,0,0,0,0,0
flakes,0,0,0,0,0,0,0,0,0,0,0
haha,0,0,0,1,0,0,0,0,0,0,0
surface,1,0,2,0,0,0,0,1,0,0,1
crop,0,0,0,0,0,0,0,2,0,0,0
seats,4,3,0,3,0,3,2,0,0,0,0
voting,0,0,0,0,0,0,0,0,0,0,0
peach,0,0,0,0,2,0,0,0,0,0,1
east,0,0,0,0,0,0,0,0,0,0,0
endangered,0,0,0,0,0,0,0,0,0,0,0
bark,0,0,0,0,0,0,0,0,0,0,0
punish,0,0,0,0,0,0,0,0,0,0,0
sorbeto,0,0,0,0,0,0,0,0,0,0,0
queen,0,1,0,0,0,0,0,0,0,0,0
uncertainty,0,2,0,0,0,0,2,2,3,0,2
brown,0,0,0,2,1,0,0,0,0,0,0
oscillating,0,2,0,1,0,0,0,0,0,0,0
theatre,3,3,0,3,0,0,0,4,0,0,4
flowing,0,0,2,0,0,0,0,0,1,0,0
fellow,2,0,0,0,0,0,0,0,0,0,0
soon,2,0,0,0,0,0,0,0,0,0,0
lore,0,2,0,0,0,0,0,3,0,0,0
instruct,0,0,0,0,0,4,2,0,0,0,0
ouse,0,0,0,0,0,0,0,0,0,0,0
shirt,0,0,3,4,0,0,0,0,0,0,0
at,0,0,0,0,0,0,0,0,0,0,0
oklahoma,0,0,0,0,0,0,0,0,0,0,0
function,0,0,0,0,0,0,0,0,0,0,0
lcd,0,0,0,0,0,0,0,0,0,0,0
snake,0,0,0,1,0,0,0,0,0,0,0
safari,0,0,0,0,0,0,0,0,0,0,0
tranquility,2,2,0,0,1,0,2,0,0,0,1
guys,1,1,0,1,0,0,0,0,0,2,0
cone,0,0,0,0,0,0,0,0,0,0,0
goals,0,0,0,0,0,0,0,0,3,0,0
mandragore,0,0,0,0,0,0,0,0,0,0,0
seattle,0,0,0,0,0,0,0,0,0,0,0
musical,0,0,0,0,0,0,0,0,0,0,0
hillside,0,0,0,0,0,0,0,0,0,0,0
survey,0,0,0,0,0,0,0,0,0,0,0
grape,0,0,0,0,0,0,0,0,0,0,0
againwindow,2,0,0,2,0,0,0,0,0,0,2
ride,4,3,3,4,3,3,3,4,0,0,0
lima,0,0,0,0,0,0,0,0,0,0,0
mangaka,0,0,0,0,0,0,0,0,0,0,0
dreamer,2,4,0,0,2,0,1,0,0,0,0
intruiging,2,2,0,1,0,0,0,2,0,0,0
self-examination,3,3,4,0,3,0,2,0,3,3,3
bugs,0,0,0,0,4,0,0,0,0,0,0
hometown,0,0,0,0,2,0,0,0,3,2,2
silent,0,2,0,0,0,0,0,3,0,0,1
blink,0,2,0,0,0,0,0,0,0,0,0
mislead,2,2,0,0,0,0,0,4,0,0,2
festivals,0,0,0,0,0,0,0,0,0,0,0
goose,0,0,0,0,0,0,0,0,0,0,0
receive,0,1,0,0,0,3,2,0,0,0,1
cousins,3,0,0,0,0,0,0,0,0,0,0
sights,2,2,0,0,0,0,0,3,0,0,0
sorcerer,0,0,0,0,0,0,0,0,0,0,0
shepherds,0,0,0,0,0,0,0,0,0,0,4
artifact,0,0,0,0,0,3,2,0,0,0,3
vakation,0,0,0,0,0,0,0,0,0,0,0
ethanol,0,0,0,0,0,0,0,0,0,0,0
prop,0,0,0,2,0,0,0,2,0,0,1
rows,0,0,0,0,0,0,0,0,0,0,0
prescription,0,0,0,0,0,0,0,0,0,0,0
console,0,0,0,2,0,0,3,0,0,0,0
horrific,0,0,0,0,0,0,0,0,0,1,0
carrots,0,0,0,0,0,0,0,0,0,0,0
fortunate,2,0,0,0,0,0,1,0,0,0,0
temperment,0,2,0,2,0,0,1,0,0,0,0
carolina,0,0,0,0,0,0,0,0,0,0,0
countryside,0,0,0,0,0,0,0,0,0,0,0
ribs,0,0,0,0,0,0,0,0,0,0,0
reunite,0,0,0,0,0,0,0,0,0,0,0
warning,0,0,0,0,0,2,0,0,0,0,0
spring,0,0,0,0,0,0,0,0,0,0,0
parallel,0,2,0,0,0,0,0,0,0,0,0
arduous,0,0,0,0,0,0,0,0,0,0,0
hybrid,0,0,0,0,0,0,0,0,0,0,0
outfit,0,0,3,0,0,0,0,0,1,0,1
childish,0,0,0,3,0,0,1,0,0,0,0
bustle,0,2,0,0,0,0,0,3,0,0,0
answers,0,0,0,0,0,3,0,2,0,0,1
traveler,3,3,2,2,1,3,3,3,0,0,0
sport,4,0,0,0,0,0,0,0,0,0,0
meal,0,3,0,1,1,0,0,0,0,0,0
beerhall,0,0,0,0,0,0,0,0,0,0,0
crafty,2,0,0,0,0,2,0,3,0,0,0
sign,0,0,0,0,0,1,3,3,0,0,0
scram,0,0,0,0,0,0,0,0,0,0,0
mountains,0,0,0,0,0,0,0,0,0,0,0
advil,0,0,0,0,0,0,0,0,0,0,0
tomorrow,0,0,0,0,0,0,0,0,0,0,0
schdule,0,0,0,0,0,1,0,0,0,0,0
uy7uuuuuuuuuuu,0,0,0,0,0,0,0,0,0,0,0
zara,0,0,0,0,0,0,0,1,0,0,1
fanatic,0,2,0,0,0,0,0,2,0,0,0
sacrament,0,0,0,0,0,0,0,0,0,0,0
attach,0,0,0,0,0,0,3,0,2,0,2
knives,0,0,0,0,0,0,0,0,0,0,0
absolute,0,0,0,0,0,0,0,0,0,0,0
bummer,0,0,0,0,0,0,0,0,2,0,2
contract,0,0,0,0,0,0,0,0,0,0,1
barley,0,0,0,0,0,0,0,0,0,0,0
venice,0,0,0,0,0,0,0,0,0,0,0
pouring,0,0,2,0,0,0,0,0,0,0,0
motherboard,0,0,0,0,0,0,0,0,0,0,0
early,1,0,0,0,0,0,0,0,0,0,2
chap,0,0,0,0,0,0,0,0,0,0,0
placewasther,0,0,0,0,0,0,0,0,0,0,0
colby,0,0,0,0,0,0,0,0,0,0,0
feast,0,2,0,0,2,0,0,0,0,0,0
backseat,1,1,0,1,0,0,0,0,0,0,0
scroll,0,0,0,0,0,0,0,0,0,0,0
patterned,0,0,2,0,0,0,0,0,1,0,2
expensive,2,0,0,0,0,0,0,0,0,0,0
york,0,0,0,0,0,0,0,0,0,0,0
beset,0,2,0,0,2,0,0,0,2,0,0
sode,0,0,0,0,0,0,0,0,0,0,0
mosque,0,0,0,0,0,0,0,0,0,0,0
57r76,0,0,0,0,0,0,0,0,0,0,0
trail,1,0,0,0,0,0,0,0,0,0,0
heels,0,0,0,0,0,0,0,0,0,0,0
consideration,0,0,0,0,2,0,3,0,3,0,0
mire,0,0,0,0,2,0,0,0,3,0,0
weiner,0,0,0,0,0,0,0,0,0,0,0
lords,0,0,0,0,0,0,0,0,0,0,0
literature,0,0,0,2,1,0,0,0,0,0,0
fishy,0,0,0,0,0,2,0,3,0,0,1
gibberish,0,0,0,0,0,0,0,0,0,0,0
oily,0,0,0,2,0,0,0,0,0,0,0
cahoot,1,0,0,0,0,0,0,2,0,0,0
elf,0,0,0,0,0,0,0,0,0,0,0
reveal,0,3,0,2,0,4,0,0,2,0,3
enjoyable,0,3,0,0,0,2,2,0,0,0,0
diana,0,0,0,0,0,0,0,0,0,0,0
except,0,1,0,0,0,0,0,0,0,0,0
concealer,0,0,1,2,0,0,0,0,0,0,0
brutality,0,0,0,0,0,0,0,0,0,0,0
japan,0,0,0,0,0,0,0,0,0,0,0
cia,2,2,0,1,0,0,0,0,0,0,0
teary,0,1,0,0,0,0,0,0,0,2,2
mobile,0,0,0,0,0,3,0,0,2,0,4
nobility,0,0,0,0,0,0,0,0,0,0,0
unbutton,0,0,0,4,0,0,0,0,0,0,0
doorway,0,0,0,0,0,0,0,2,0,0,0
pal,0,1,0,1,0,1,0,0,0,0,0
fractions,0,0,0,0,0,1,0,0,0,0,0
fairness,0,0,0,0,0,0,0,0,0,0,0
bloids,1,4,0,1,0,0,0,2,0,0,0
glaze,0,0,0,0,0,0,0,0,0,0,0
republican,0,0,0,0,0,0,0,0,0,0,0
history,0,0,0,0,0,0,0,0,0,0,1
fristbite,0,0,0,3,1,0,0,0,0,0,0
heater,0,0,0,0,3,0,0,0,0,0,0
cuddly,0,1,0,0,0,0,2,0,0,0,0
mouswe,0,0,0,0,0,0,0,0,0,0,0
restaurants,0,2,0,0,2,0,0,0,0,0,0
growling,0,0,0,3,0,0,0,0,0,0,0
